"","code","game_type","rival","pay_competitive","n"
"457","sujeto_0031826","individual","4","2",4
"458","sujeto_0031826","individual","4","3",3
"459","sujeto_0031826","individual","4","4",2
"460","sujeto_0032413","competitive","1","1",6
"461","sujeto_0032413","competitive","1","2",8
"462","sujeto_0032413","competitive","1","3",7
"463","sujeto_0032413","competitive","1","4",7
"464","sujeto_0032413","competitive","2","1",2
"465","sujeto_0032413","competitive","2","2",8
"466","sujeto_0032413","competitive","2","3",6
"467","sujeto_0032413","competitive","2","4",7
"468","sujeto_0032413","competitive","3","1",1
"469","sujeto_0032413","competitive","3","2",3
"470","sujeto_0032413","competitive","3","3",7
"471","sujeto_0032413","competitive","3","4",8
"472","sujeto_0032413","competitive","4","2",1
"473","sujeto_0032413","competitive","4","3",3
"474","sujeto_0032413","competitive","4","4",6
"475","sujeto_0032413","individual","1","1",2
"476","sujeto_0032413","individual","1","3",1
"477","sujeto_0032413","individual","1","4",1
"478","sujeto_0032413","individual","2","1",6
"479","sujeto_0032413","individual","2","3",2
"480","sujeto_0032413","individual","2","4",1
"481","sujeto_0032413","individual","3","1",7
"482","sujeto_0032413","individual","3","2",3
"483","sujeto_0032413","individual","3","3",1
"484","sujeto_0032413","individual","4","1",8
"485","sujeto_0032413","individual","4","2",7
"486","sujeto_0032413","individual","4","3",5
"487","sujeto_0032413","individual","4","4",2
"488","sujeto_0033050","competitive","1","1",5
"489","sujeto_0033050","competitive","1","2",8
"490","sujeto_0033050","competitive","1","3",8
"491","sujeto_0033050","competitive","1","4",8
"492","sujeto_0033050","competitive","2","1",4
"493","sujeto_0033050","competitive","2","2",8
"494","sujeto_0033050","competitive","2","3",8
"495","sujeto_0033050","competitive","2","4",8
"496","sujeto_0033050","competitive","3","1",4
"497","sujeto_0033050","competitive","3","2",8
"498","sujeto_0033050","competitive","3","3",8
"499","sujeto_0033050","competitive","3","4",8
"500","sujeto_0033050","competitive","4","1",1
"501","sujeto_0033050","competitive","4","2",8
"502","sujeto_0033050","competitive","4","3",8
"503","sujeto_0033050","competitive","4","4",8
"504","sujeto_0033050","individual","1","1",3
"505","sujeto_0033050","individual","2","1",4
"506","sujeto_0033050","individual","3","1",3
"507","sujeto_0033050","individual","4","1",7
"508","sujeto_0034539","competitive","1","1",7
"509","sujeto_0034539","competitive","1","2",8
"510","sujeto_0034539","competitive","1","3",7
"511","sujeto_0034539","competitive","1","4",7
"512","sujeto_0034539","competitive","2","1",7
"513","sujeto_0034539","competitive","2","2",8
"514","sujeto_0034539","competitive","2","3",7
"515","sujeto_0034539","competitive","2","4",7
"516","sujeto_0034539","competitive","3","1",6
"517","sujeto_0034539","competitive","3","2",8
"518","sujeto_0034539","competitive","3","3",7
"519","sujeto_0034539","competitive","3","4",8
"520","sujeto_0034539","competitive","4","1",6
"521","sujeto_0034539","competitive","4","2",4
"522","sujeto_0034539","competitive","4","3",7
"523","sujeto_0034539","competitive","4","4",4
"524","sujeto_0034539","individual","1","1",1
"525","sujeto_0034539","individual","1","3",1
"526","sujeto_0034539","individual","1","4",1
"527","sujeto_0034539","individual","2","1",1
"528","sujeto_0034539","individual","2","3",1
"529","sujeto_0034539","individual","2","4",1
"530","sujeto_0034539","individual","3","1",2
"531","sujeto_0034539","individual","3","3",1
"532","sujeto_0034539","individual","4","1",2
"533","sujeto_0034539","individual","4","2",4
"534","sujeto_0034539","individual","4","3",1
"535","sujeto_0034539","individual","4","4",4
"536","sujeto_0036567","competitive","1","1",4
"537","sujeto_0036567","competitive","1","2",8
"538","sujeto_0036567","competitive","1","3",7
"539","sujeto_0036567","competitive","1","4",8
